center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
4101,BBVA,E,MXN,1111102672,Bco Egr. Transferencia BBVA-06097,true,false,false,true,false,false,false,false,true,false
4101,BBVA,E,USD,1111202232,Bco Egr. Transferencia BBVA-31723,true,false,false,true,false,false,false,false,true,false
4101,BBVA,I,MXN,1111102673,Bco Ingr. BBVA-06097,true,false,false,false,false,false,false,false,true,false
4101,BBVA,I,USD,1111202233,Bco Ingr. BBVA-31723,true,false,false,false,false,false,false,false,true,false
4101,DAIMLER,E,MXN,1111102652,Bco Egr. Transferencia BBVA-03284,true,false,false,false,false,false,false,false,true,false
4101,DAIMLER,E,MXN,1111102672,Bco Egr. Transferencia BBVA-06097,true,false,false,false,false,false,false,false,true,false
4101,DAIMLER,E,MXN,1111101172,Bco Egr. Transferencia BNMX-37512,true,false,false,true,false,false,false,false,false,true
4101,DAIMLER,E,USD,1111201102,Bco Egr. Transferencia BNMX-24565,true,false,false,true,false,false,false,false,false,true
4101,DAIMLER,E,USD,1111202232,Bco Egr. Transferencia BBVA-31723,true,false,false,false,false,false,false,false,true,false
4101,DAIMLER,I,MXN,1111102653,Bco Ingr. BBVA-03284,true,false,false,false,false,false,false,false,true,false
4101,DAIMLER,I,MXN,1111101173,Bco Ingr. BNMX-37512,true,false,true,false,false,false,false,true,false,true
4101,DAIMLER,I,USD,1111201103,Bco Ingr. BNMX-24565,true,false,true,false,false,false,false,true,false,true
4108,BBVA,E,MXN,1111102702,Bco Egr. Transferencia BBVA-68991,true,false,false,false,false,false,false,false,true,false
4108,BBVA,E,MXN,1111102712,Bco Egr. Transferencia BBVA-97296,true,false,false,true,false,false,false,false,true,false
4108,BBVA,I,MXN,1111102703,Bco Ingr. BBVA-68991,true,false,false,false,false,false,false,false,true,false
4108,BBVA,I,MXN,1111102713,Bco Ingr. BBVA-97296,true,false,false,false,false,false,false,false,true,false
4108,BBVA,I,USD,1111202243,Bco Ingr. BBVA-31752,true,false,false,false,false,false,false,false,true,false
4108,BMX,E,MXN,1111101202,Bco Egr. Transferencia BNMX-41017,true,false,false,false,false,false,false,false,false,true
4108,BMX,E,MXN,1111102712,Bco Egr. Transferencia BBVA-97296,true,false,false,false,false,false,false,false,true,false
4108,BMX,I,MXN,1111101203,Bco Ingr. BNMX-41017,true,false,false,false,false,false,false,false,false,true
4108,BMX,I,MXN,1111102713,Bco Ingr. BBVA-97296,true,false,false,false,false,false,false,false,true,false
4108,DAIMLER,E,MXN,1111102702,Bco Egr. Transferencia BBVA-68991,true,false,false,true,false,false,false,false,true,false
4108,DAIMLER,E,USD,1111201112,Bco Egr. Transferencia BNMX-00039,true,false,false,true,false,false,false,false,false,true
4108,DAIMLER,E,MXN,1111102712,Bco Egr. Transferencia BBVA-97296,true,false,false,false,false,false,false,false,true,false
4108,DAIMLER,I,MXN,1111102703,Bco Ingr. BBVA-68991,true,false,false,false,false,false,false,false,true,false
4108,DAIMLER,I,MXN,1111102713,Bco Ingr. BBVA-97296,true,false,true,false,false,false,false,true,true,false
